Draw,Claimable prize amount,Unclaimed prize amount,Dropped prize amount,Total amount,Total unclaimed amount,Winners,Users dropped prizes
1,9140,7050,7170,16310,14220,115,43
2,13470,4810,7290,20760,12100,145,57
3,5580,2400,7590,13170,9990,164,62
4,11210,8090,7430,18640,15520,182,58
5,13500,4460,5650,19150,10110,213,54
6,9940,2110,4960,14900,7070,229,60
7,9290,4870,4020,13310,8890,239,73
8,10990,1180,4390,15380,5570,250,74
9,9890,950,4260,14150,5210,249,71
10,9600,1330,4480,14080,5810,257,72
11,8730,870,3970,12700,4840,264,74
12,14670,3180,4940,19610,8120,287,72
13,8300,840,4140,12440,4980,267,72
14,11540,820,4130,15670,4950,279,73
15,11370,780,3700,15070,4480,307,81
16,14280,1110,3950,18230,5060,294,75
17,8960,800,3610,12570,4410,328,82
18,10450,640,3450,13900,4090,307,73
19,11450,340,3700,15150,4040,333,72
20,9990,510,3220,13210,3730,330,73
21,11960,570,3100,15060,3670,343,73
22,11460,560,2650,14110,3210,365,82
23,15040,3090,3460,18500,6550,368,94
24,10320,1090,3060,13380,4150,377,81
25,12230,720,2790,15020,3510,396,82
26,12810,3220,2350,15160,5570,409,71
27,12770,920,2430,15200,3350,446,56
28,15750,960,2160,17910,3120,451,62
29,12020,900,3370,15390,4270,395,50
30,11940,970,3590,15530,4560,424,44
31,14680,1600,3540,18220,5140,416,55
32,11730,1040,3810,15540,4850,390,51
33,11700,1010,2890,14590,3900,389,52
34,19860,1180,2280,22140,3460,409,55
35,12630,1060,2190,14820,3250,467,59
36,12970,1560,2350,15320,3910,453,72
37,13620,1370,2480,16100,3850,478,72
38,17130,1080,2070,19200,3150,440,61
39,10580,1370,1910,12490,3280,444,58
40,15970,1050,2480,18450,3530,426,57
41,12390,1140,2370,14760,3510,441,57
42,10090,1280,2060,12150,3340,463,50
43,16140,5790,2910,19050,8700,457,53
44,10100,720,2110,12210,2830,454,50
45,10080,880,2210,12290,3090,441,58
46,11370,910,2490,13860,3400,455,60
47,12910,1160,2910,15820,4070,463,61
48,18632,1729,4458,23090,6187,1032,452
49,14072,3556,4269,18341,7825,1111,439
50,12742,3905,3831,16573,7736,1137,476
51,10493,998,3974,14467,4972,1171,461
52,10512,1385,3853,14365,5238,1175,470
53,14688,933,4054,18742,4987,1155,467
54,23569,3303,3629,27198,6932,1191,464
55,11796,1511,3843,15639,5354,1214,451
56,17275,3387,3847,21122,7234,1236,459
57,13927,1231,3992,17919,5223,1173,461
58,13527,3633,3631,17158,7264,1235,460
59,13349,3750,3325,16674,7075,1211,432
60,14595,1358,3506,18101,4864,1240,452
61,11215,1157,3641,14856,4798,1186,458
62,16282,1600,3582,19864,5182,1225,424
63,19082,1108,3778,22860,4886,1240,410
64,16863,2445,3818,20681,6263,1214,406
65,14234,833,3714,17948,4547,1259,399
66,13977,3785,3786,17763,7571,1237,419
67,15192,2585,4182,19374,6767,1259,409
68,15445,1722,3838,19283,5560,1266,412
69,11462,2099,3580,15042,5679,1252,382
70,9530,1875,3753,13283,5628,1254,386
71,9939,1806,3677,13616,5483,1225,380
72,11304,2748,3780,15084,6528,1276,383
73,13661,2688,3922,17583,6610,1237,376
74,14316,3367,3856,18172,7223,1207,376
75,13549,4147,4343,17892,8490,1283,373
76,12395,6615,3723,16118,10338,1221,365
77,11652,4143,3463,15115,7606,1318,390
78,15157,7664,3739,18896,11403,1255,377
79,12253,4148,3680,15933,7828,1269,395
80,17231,6800,3656,20887,10456,1262,389
81,10420,7727,3366,13786,11093,1313,372
82,14481,12137,3589,18070,15726,1287,408
83,11811,10728,3563,15374,14291,1279,382
84,18433,18433,3644,22077,22077,1312,407
total,1081661,227379,307955,1389616,535334,4825,18469

