Draw,$0 claimable,$1 claimable,$2 claimable,$5 claimable,$10 claimable,$17 claimable,$20 claimable,$50 claimable,$69 claimable,$100 claimable,$164 claimable,$200 claimable,$316 claimable,$500 claimable,$1000 claimable,$1010 claimable,$1104 claimable,$1420 claimable,$2500 claimable
1,0,0,0,0,144,0,0,0,0,27,0,0,0,0,0,0,0,0,2
2,0,0,0,0,187,0,0,0,0,41,0,0,0,0,0,0,0,0,3
3,0,0,0,0,218,0,0,0,0,34,0,0,0,0,0,0,0,0,0
4,0,0,0,0,241,0,0,0,0,38,0,0,0,0,0,0,0,0,2
5,0,0,0,0,280,0,0,0,0,32,0,0,0,0,0,0,0,0,3
6,0,0,0,0,294,0,0,0,0,45,0,0,0,0,0,0,0,0,1
7,0,0,0,0,319,0,0,0,0,36,0,0,0,0,0,0,0,0,1
8,0,0,0,0,319,0,0,0,0,53,0,0,0,0,0,0,0,0,1
9,0,0,0,0,329,0,0,0,0,41,0,0,0,0,0,0,0,0,1
10,0,0,0,0,350,0,0,0,0,36,0,0,0,0,0,0,0,0,1
11,0,0,0,0,323,0,0,0,0,55,0,0,0,0,0,0,0,0,0
12,0,0,0,0,387,0,0,0,0,33,0,0,0,0,0,0,0,0,3
13,0,0,0,0,360,0,0,0,0,47,0,0,0,0,0,0,0,0,0
14,0,0,0,0,354,0,0,0,0,55,0,0,0,0,0,0,0,0,1
15,0,0,0,0,407,0,0,0,0,48,0,0,0,0,0,0,0,0,1
16,0,0,0,0,368,0,0,0,0,56,0,0,0,0,0,0,0,0,2
17,0,0,0,0,436,0,0,0,0,46,0,0,0,0,0,0,0,0,0
18,0,0,0,0,405,0,0,0,0,39,0,0,0,0,0,0,0,0,1
19,0,0,0,0,445,0,0,0,0,45,0,0,0,0,0,0,0,0,1
20,0,0,0,0,439,0,0,0,0,31,0,0,0,0,0,0,0,0,1
21,0,0,0,0,446,0,0,0,0,50,0,0,0,0,0,0,0,0,1
22,0,0,0,0,486,0,0,0,0,41,0,0,0,0,0,0,0,0,1
23,0,0,0,0,494,0,0,0,0,51,0,0,0,0,0,0,0,0,2
24,0,0,0,0,492,0,0,0,0,54,0,0,0,0,0,0,0,0,0
25,0,0,0,0,503,0,0,0,0,47,0,0,0,0,0,0,0,0,1
26,0,0,0,0,511,0,0,0,0,52,0,0,0,0,0,0,0,0,1
27,0,0,0,0,547,0,0,0,0,48,0,0,0,0,0,0,0,0,1
28,0,0,0,0,545,0,0,0,0,53,0,0,0,0,0,0,0,0,2
29,0,0,0,0,462,0,0,0,0,49,0,0,0,0,0,0,0,0,1
30,0,0,0,0,514,0,0,0,0,43,0,0,0,0,0,0,0,0,1
31,0,0,0,0,498,0,0,0,0,47,0,0,0,0,0,0,0,0,2
32,0,0,0,0,463,0,0,0,0,46,0,0,0,0,0,0,0,0,1
33,0,0,0,0,470,0,0,0,0,45,0,0,0,0,0,0,0,0,1
34,0,0,0,0,496,0,0,0,0,49,0,0,0,0,0,0,0,0,4
35,0,0,0,0,583,0,0,0,0,43,0,0,0,0,0,0,0,0,1
36,0,0,0,0,577,0,0,0,0,47,0,0,0,0,0,0,0,0,1
37,0,0,0,0,602,0,0,0,0,51,0,0,0,0,0,0,0,0,1
38,0,0,0,0,533,0,0,0,0,43,0,0,0,0,0,0,0,0,3
39,0,0,0,0,558,0,0,0,0,50,0,0,0,0,0,0,0,0,0
40,0,0,0,0,507,0,0,0,0,59,0,0,0,0,0,0,0,0,2
41,0,0,0,0,539,0,0,0,0,45,0,0,0,0,0,0,0,0,1
42,0,0,0,0,579,0,0,0,0,43,0,0,0,0,0,0,0,0,0
43,0,0,0,0,544,0,0,0,0,57,0,0,0,0,0,0,0,0,2
44,0,0,0,0,550,0,0,0,0,46,0,0,0,0,0,0,0,0,0
45,0,0,0,0,538,0,0,0,0,47,0,0,0,0,0,0,0,0,0
46,0,0,0,0,547,0,0,0,0,59,0,0,0,0,0,0,0,0,0
47,0,0,0,0,551,0,0,0,0,49,0,0,0,0,0,0,0,0,1
48,0,1002,0,508,139,0,0,46,0,0,0,22,0,4,0,0,0,0,2
49,0,1092,0,446,170,0,0,45,0,0,0,9,0,5,0,0,0,0,1
50,0,1167,0,481,157,0,0,48,0,0,0,11,0,1,0,0,0,0,1
51,0,1138,0,521,195,0,0,44,0,0,0,13,0,0,0,0,0,0,0
52,0,1172,0,492,163,0,0,45,0,0,0,10,0,2,0,0,0,0,0
53,0,1113,0,507,169,0,0,47,0,0,0,10,0,5,0,0,0,0,1
54,0,1164,0,537,157,0,0,41,0,0,0,13,0,2,0,0,0,0,5
55,0,1161,0,527,180,0,0,48,0,0,0,14,0,2,0,0,0,0,0
56,0,1215,0,528,172,0,0,36,0,0,0,7,0,2,0,0,0,0,3
57,0,1122,0,525,163,0,0,47,0,0,0,16,0,1,0,0,0,0,1
58,0,1207,0,550,147,0,0,52,0,0,0,10,0,2,0,0,0,0,1
59,0,1229,0,514,145,0,0,46,0,0,0,9,0,3,0,0,0,0,1
60,0,1225,0,514,160,0,0,46,0,0,0,12,0,4,0,0,0,0,1
61,0,1170,0,489,160,0,0,46,0,0,0,11,0,3,0,0,0,0,0
62,0,1197,0,511,173,0,0,34,0,0,0,13,0,8,0,0,0,0,1
63,0,1242,0,488,155,0,0,49,0,0,0,7,0,5,0,0,0,0,3
64,0,1188,0,495,150,0,0,48,0,0,0,14,0,8,0,0,0,0,1
65,0,1234,0,508,141,0,0,47,0,0,0,16,0,2,0,0,0,0,1
66,0,1197,0,524,151,0,0,39,0,0,0,11,0,4,0,0,0,0,1
67,0,1222,0,522,156,0,0,38,0,0,0,12,0,6,0,0,0,0,1
68,0,1240,0,507,172,0,0,49,0,0,0,10,0,1,0,0,0,0,2
69,0,1227,0,485,171,0,0,30,0,0,0,13,0,4,0,0,0,0,0
70,0,1175,0,521,150,0,0,53,0,0,0,8,0,0,0,0,0,0,0
71,0,1204,0,453,177,0,0,52,0,0,0,8,0,1,0,0,0,0,0
72,0,1274,0,480,148,0,0,51,0,0,0,13,0,2,0,0,0,0,0
73,0,1206,0,475,178,0,0,48,0,0,0,12,0,2,0,0,0,0,1
74,0,1201,0,475,149,0,0,43,0,0,0,13,0,4,0,0,0,0,1
75,0,1229,0,534,135,0,0,48,0,0,0,17,0,5,0,0,0,0,0
76,0,1225,0,454,135,0,0,51,0,0,0,10,0,1,0,0,0,0,1
77,0,1317,0,469,159,0,0,52,0,0,0,9,0,4,0,0,0,0,0
78,0,1252,0,493,139,0,0,55,0,0,0,14,0,4,0,0,0,0,1
79,0,1253,0,532,139,0,0,37,0,0,0,8,0,2,0,0,0,0,1
80,0,1271,0,456,148,0,0,46,0,0,0,12,0,5,0,0,0,0,2
81,0,1300,0,488,143,0,0,41,0,0,0,6,0,4,0,0,0,0,0
82,0,1281,0,516,137,0,0,49,0,0,0,14,0,3,0,0,0,0,1
83,0,1246,0,513,165,0,0,41,0,0,0,9,0,5,0,0,0,0,0
84,0,1258,0,533,151,0,0,42,0,0,0,12,0,2,0,0,0,0,3
85,0,1292,0,522,161,0,0,40,0,0,0,17,0,4,0,0,0,0,0
86,0,1246,0,494,169,0,0,46,0,0,0,18,0,3,0,0,0,0,0
87,0,1222,0,487,144,0,0,48,0,0,0,15,0,3,0,0,0,0,1
88,0,1237,0,501,144,0,0,49,0,0,0,10,0,4,0,0,0,0,1
89,0,1278,0,534,144,0,0,51,0,0,0,14,0,6,0,0,0,0,1
90,0,1276,0,511,165,0,0,47,0,0,0,12,0,2,0,0,0,0,2
91,0,1313,0,521,162,0,0,46,0,0,0,18,0,1,0,0,0,0,0
92,0,1272,0,500,167,0,0,41,0,0,0,15,0,5,0,0,0,0,0
93,0,1317,0,520,193,0,0,41,0,0,0,18,0,1,0,0,0,0,4
94,0,1265,0,544,160,0,0,35,0,0,0,14,0,4,0,0,0,0,3
95,0,1297,0,520,184,0,0,49,0,0,0,7,0,1,0,0,0,0,1
96,0,1333,0,526,167,0,0,38,0,0,0,8,0,3,0,0,0,0,2
97,0,1356,0,516,158,0,0,35,0,0,0,14,0,2,0,0,0,0,0
98,0,1361,0,536,150,0,0,50,0,0,0,6,0,3,0,0,0,0,3
99,0,1335,0,518,164,0,0,49,0,0,0,10,0,3,0,0,0,0,2
100,0,1340,0,548,156,0,0,55,0,0,0,8,0,4,0,0,0,0,2
101,0,1328,0,519,175,0,0,47,0,0,0,15,0,5,0,0,0,0,1
102,0,1319,0,522,162,0,0,46,0,0,0,14,0,1,0,0,0,0,3
103,0,1303,0,555,160,0,0,49,0,0,0,8,0,3,0,0,0,0,1
104,0,1308,0,537,166,0,0,31,0,0,0,5,0,1,0,0,0,0,1
105,0,1295,0,549,149,0,0,39,0,0,0,15,0,0,0,0,0,0,2
106,0,1311,0,485,182,0,0,39,0,0,0,11,0,1,0,0,0,0,1
107,0,0,0,528,159,0,0,44,0,0,0,0,0,0,1,0,0,0,0
108,0,0,0,533,169,0,0,42,0,0,0,0,0,0,3,0,0,0,0
109,0,0,0,483,154,0,0,48,0,0,0,0,0,0,4,0,0,0,0
110,0,0,0,513,159,0,0,48,0,0,0,0,0,0,4,0,0,0,0
111,0,0,0,520,182,0,0,58,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,531,175,0,0,50,0,0,0,0,0,0,3,0,0,0,0
113,0,0,0,492,194,0,0,50,0,0,0,0,0,0,5,0,0,0,0
114,0,0,0,571,166,0,0,38,0,0,0,0,0,0,2,0,0,0,0
115,0,0,0,522,162,0,0,35,0,0,0,0,0,0,3,0,0,0,0
116,0,0,0,549,171,0,0,53,0,0,0,0,0,0,3,0,0,0,0
117,0,0,0,555,155,0,0,52,0,0,0,0,0,0,5,0,0,0,0
118,0,0,0,540,178,0,0,48,0,0,0,0,0,0,4,0,0,0,0
119,0,0,0,548,144,0,0,35,0,0,0,0,0,0,4,0,0,0,0
120,0,0,0,573,154,0,0,42,0,0,0,0,0,0,1,0,0,0,0
121,0,0,0,533,187,0,0,57,0,0,0,0,0,0,1,0,0,0,0
122,0,0,0,528,173,0,0,44,0,0,0,0,0,0,3,0,0,0,0
123,0,0,0,527,159,0,0,39,0,0,0,0,0,0,4,0,0,0,0
124,0,0,0,518,154,0,0,45,0,0,0,0,0,0,3,0,0,0,0
125,0,0,0,527,138,0,0,59,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,514,163,0,0,55,0,0,0,0,0,0,6,0,0,0,0
127,0,0,0,504,170,0,0,43,0,0,0,0,0,0,1,0,0,0,0
128,0,0,0,513,170,0,0,51,0,0,0,0,0,0,4,0,0,0,0
129,0,0,0,501,167,0,0,43,0,0,0,0,0,0,4,0,0,0,0
130,0,0,0,541,150,0,0,38,0,0,0,0,0,0,4,0,0,0,0
131,0,0,0,528,201,0,0,51,0,0,0,0,0,0,3,0,0,0,0
132,0,0,0,550,164,0,0,43,0,0,0,0,0,0,7,0,0,0,0
133,0,0,0,538,197,0,0,43,0,0,0,0,0,0,7,0,0,0,0
134,0,0,0,505,172,0,0,46,0,0,0,0,0,0,6,0,0,0,0
135,0,0,0,547,156,0,0,49,0,0,0,0,0,0,1,0,0,0,0
136,0,0,0,532,149,0,0,57,0,0,0,0,0,0,3,0,0,0,0
137,0,0,0,534,169,0,0,31,0,0,0,0,0,0,7,0,0,0,0
138,0,0,0,516,165,0,0,51,0,0,0,0,0,0,4,0,0,0,0
139,0,0,0,521,168,0,0,51,0,0,0,0,0,0,2,0,0,0,0
140,0,0,0,526,167,0,0,48,0,0,0,0,0,0,7,0,0,0,0
141,0,0,0,520,178,0,0,49,0,0,0,0,0,0,2,0,0,0,0
142,0,0,0,525,188,0,0,34,0,0,0,0,0,0,3,0,0,0,0
143,0,0,0,503,179,0,0,55,0,0,0,0,0,0,2,0,0,0,0
144,0,0,0,515,159,0,0,52,0,0,0,0,0,0,1,0,0,0,0
145,0,0,0,522,176,0,0,47,0,0,0,0,0,0,2,0,0,0,0
146,0,0,0,500,150,0,0,56,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,550,176,0,0,46,0,0,0,0,0,0,2,0,0,0,0
148,0,0,0,501,187,0,0,49,0,0,0,0,0,0,4,0,0,0,0
149,0,0,0,506,179,0,0,42,0,0,0,0,0,0,5,0,0,0,0
150,0,0,0,496,162,0,0,38,0,0,0,0,0,0,3,0,0,0,0
151,0,0,0,456,176,0,0,47,0,0,0,0,0,0,3,0,0,0,0
152,0,0,0,511,168,0,0,50,0,0,0,0,0,0,2,0,0,0,0
153,0,0,0,504,156,0,0,58,0,0,0,0,0,0,5,0,0,0,0
154,0,0,0,511,153,0,0,43,0,0,0,0,0,0,1,0,0,0,0
155,0,0,0,522,155,0,0,55,0,0,0,0,0,0,3,0,0,0,0
156,0,0,0,499,167,0,0,52,0,0,0,0,0,0,4,0,0,0,0
157,0,0,0,543,163,0,0,43,0,0,0,0,0,0,1,0,0,0,0
158,0,0,0,534,148,0,0,46,0,0,0,0,0,0,4,0,0,0,0
159,0,0,0,524,169,0,0,56,0,0,0,0,0,0,4,0,0,0,0
160,0,0,0,478,171,0,0,44,0,0,0,0,0,0,2,0,0,0,0
161,0,0,0,516,173,0,0,44,0,0,0,0,0,0,3,0,0,0,0
162,0,0,0,556,206,0,0,31,0,0,0,0,0,0,2,0,0,0,0
163,0,0,0,551,181,0,0,53,0,0,0,0,0,0,2,0,0,0,0
164,0,0,0,535,212,0,0,51,0,0,0,0,0,0,4,0,0,0,0
165,0,0,0,560,159,0,0,40,0,0,0,0,0,0,8,0,0,0,0
166,0,0,0,538,185,0,0,47,0,0,0,0,0,0,2,0,0,0,0
167,0,0,0,571,192,0,0,55,0,0,0,0,0,0,3,0,0,0,0
168,0,0,0,515,187,0,0,58,0,0,0,0,0,0,2,0,0,0,0
169,0,0,0,497,205,0,0,51,0,0,0,0,0,0,3,0,0,0,0
170,0,0,0,566,185,0,0,46,0,0,0,0,0,0,1,0,0,0,0
171,0,0,0,559,174,0,0,42,0,0,0,0,0,0,4,0,0,0,0
172,0,0,0,537,189,0,0,36,0,0,0,0,0,0,3,0,0,0,0
173,0,0,0,590,181,0,0,44,0,0,0,0,0,0,3,0,0,0,0
174,0,0,0,532,164,0,0,42,0,0,0,0,0,0,2,0,0,0,0
175,0,0,0,529,158,0,0,46,0,0,0,0,0,0,6,0,0,0,0
176,0,0,0,538,181,0,0,44,0,0,0,0,0,0,3,0,0,0,0
177,0,0,0,549,167,0,0,51,0,0,0,0,0,0,5,0,0,0,0
178,0,0,0,570,171,0,0,45,0,0,0,0,0,0,3,0,0,0,0
179,0,0,0,740,36,0,0,11,0,4,0,0,0,0,1,0,0,0,0
180,0,0,0,749,55,0,0,9,0,9,0,0,0,0,1,0,0,0,0
181,0,0,0,752,40,0,0,10,0,7,0,0,0,0,2,0,0,0,0
182,0,0,0,780,52,0,0,13,0,4,0,0,0,0,2,0,0,0,0
183,0,0,0,737,46,0,0,11,0,3,0,0,0,0,2,0,0,0,0
184,0,0,0,723,58,0,0,11,0,3,0,0,0,0,0,0,0,0,0
185,0,0,0,769,36,0,0,15,0,2,0,0,0,0,1,0,0,0,0
186,0,0,0,728,39,0,0,13,0,0,0,0,0,0,2,0,0,0,0
187,0,0,0,742,59,0,0,11,0,1,0,0,0,0,3,0,0,0,0
188,0,0,0,756,37,0,0,11,0,2,0,0,0,0,0,0,0,0,0
189,0,0,0,783,41,0,0,15,0,3,0,0,0,0,0,0,0,0,0
190,0,0,0,781,39,0,0,11,0,5,0,0,0,0,0,0,0,0,0
191,0,0,0,791,59,0,0,17,0,1,0,0,0,0,1,0,0,0,0
192,0,0,0,749,51,0,0,10,0,1,0,0,0,0,1,0,0,0,0
193,0,0,0,764,47,0,0,14,0,3,0,0,0,0,1,0,0,0,0
194,0,0,0,688,48,0,0,17,0,0,0,0,0,0,1,0,0,0,0
195,0,0,0,731,42,0,0,18,0,5,0,0,0,0,1,0,0,0,0
196,0,0,0,727,55,0,0,11,0,5,0,0,0,0,0,0,0,0,0
197,0,0,0,782,48,0,0,13,0,2,0,0,0,0,1,0,0,0,0
198,0,0,0,745,46,0,0,16,0,6,0,0,0,0,2,0,0,0,0
199,0,0,0,824,50,0,0,12,0,3,0,0,0,0,1,0,0,0,0
200,0,0,0,767,48,0,0,18,0,2,0,0,0,0,0,0,0,0,0
201,0,0,0,748,56,0,0,15,0,5,0,0,0,0,2,0,0,0,0
202,0,0,0,767,36,0,0,6,0,3,0,0,0,0,0,0,0,0,0
203,0,0,0,757,37,0,0,9,0,1,0,0,0,0,1,0,0,0,0
204,0,0,0,771,57,0,0,13,0,1,0,0,0,0,0,0,0,0,0
205,0,0,0,724,55,0,0,18,0,3,0,0,0,0,2,0,0,0,0
206,0,0,0,789,43,0,0,9,0,1,0,0,0,0,2,0,0,0,0
207,0,0,0,803,51,0,0,9,0,2,0,0,0,0,0,0,0,0,0
208,0,0,0,741,38,0,0,13,0,2,0,0,0,0,0,0,0,0,0
209,0,0,0,720,43,0,0,12,0,2,0,0,0,0,0,0,0,0,0
210,0,0,0,822,48,0,0,13,0,1,0,0,0,0,1,0,0,0,0
211,0,0,0,761,57,0,0,13,0,4,0,0,0,0,2,0,0,0,0
212,0,0,0,756,50,0,0,13,0,5,0,0,0,0,2,0,0,0,0
213,0,0,0,790,41,0,0,11,0,3,0,0,0,0,1,0,0,0,0
214,0,0,0,745,56,0,0,10,0,2,0,0,0,0,3,0,0,0,0
215,0,0,0,742,40,0,0,13,0,3,0,0,0,0,2,0,0,0,0
